target_id	length	eff_length	est_counts	tpm
AAA-750000-UP-4	1059	887.222	8103	51802.2
ABA-187500-UP-4	523	351.222	979	15810.2
ACA-46875-UP-4	1033	861.222	505	3325.92
ADA-23438-UP-4	1022	850.222	206	1374.26
AEA-11719-UP-4	1991	1819.22	261	813.748
AFA-5859-UP-4	1124	952.222	67	399.091
AGA-2930-UP-4	521	349.222	38	617.188
AHA-2930-UP-4	771	599.222	37	350.227
AIA-1465-UP-4	1023	851.222	23	153.257
AJA-732-UP-4	644	472.222	5	60.0564
AKA-732-UP-4	538	366.222	1	15.4878
ALA-366-UP-4	1023	851.222	2	13.3267
AMA-183-UP-4	537	365.222	3	46.5907
ANA-183-UP-4	844	672.222	3	25.313
APA-92-UP-4	1130	958.222	2	11.8386
ARA-46-UP-4	2022	1850.22	0	0
ASA-46-UP-4	274	110.601	0	0
ATA-23-UP-4	1023	851.222	0	0
AUA-11-UP-4	523	351.222	0	0
AVA-11-UP-4	494	322.222	0	0
AWA-6-UP-4	1022	850.222	0	0
AXA-3-UP-4	1136	964.222	0	0
AYA-1-UP-4	1022	850.222	0	0
BAB-1500000-SAME-1	1107	935.222	20676	125397
BBB-375000-SAME-1	505	333.222	1923	32732.6
BCB-93750-SAME-1	984	812.222	676	4720.71
BDB-46875-SAME-1	1023	851.222	648	4317.85
BEB-23438-SAME-1	523	351.222	200	3229.86
BFB-11719-SAME-1	1130	958.222	102	603.767
BGB-5859-SAME-1	1994	1822.22	139	432.662
BHB-5859-SAME-1	274	110.601	5	256.417
BIB-2930-SAME-1	1023	851.222	24	159.92
BJB-1465-SAME-1	494	322.222	1	17.6027
BKB-1465-SAME-1	1118	946.222	8	47.9548
BLB-732-SAME-1	1019	847.222	15	100.422
BMB-366-SAME-1	743	571.222	1	9.92956
BNB-366-SAME-1	644	472.222	1	12.0113
BPB-183-SAME-1	1138	966.222	1	5.87027
BRB-92-SAME-1	536	364.222	0	0
BSB-92-SAME-1	603	431.222	1	13.1533
BTB-46-SAME-1	1027	855.222	1	6.63218
BUB-23-SAME-1	2022	1850.22	0	0
BVB-23-SAME-1	493	321.222	0	0
BWB-11-SAME-1	1024	852.222	1	6.65553
BXB-6-SAME-1	1136	964.222	0	0
BYB-1-SAME-1	1023	851.222	0	0
CAC-2250000-DOWN-0.67	522	350.222	21129	342193
CBC-562500-DOWN-0.67	840	668.222	7022	59604
CCC-140625-DOWN-0.67	1042	870.222	1025	6680.81
CDC-70312-DOWN-0.67	994	822.222	1023	7057.02
CEC-35156-DOWN-0.67	642	470.222	190	2291.85
CFC-17578-DOWN-0.67	1156	984.222	203	1169.87
CGC-8789-DOWN-0.67	523	351.222	47	759.017
CHC-8789-DOWN-0.67	642	470.222	82	989.113
CIC-4395-DOWN-0.67	994	822.222	58	400.105
CJC-2197-DOWN-0.67	1350	1178.22	32	154.049
CKC-2197-DOWN-0.67	274	110.601	2	102.567
CLC-1099-DOWN-0.67	1019	847.222	21	140.591
CMC-549-DOWN-0.67	784	612.222	0	0
CNC-549-DOWN-0.67	740	568.222	2	19.964
CPC-275-DOWN-0.67	1136	964.222	2	11.7649
CRC-137-DOWN-0.67	536	364.222	1	15.5729
CSC-137-DOWN-0.67	744	572.222	0	0
CTC-69-DOWN-0.67	1022	850.222	0	0
CUC-34-DOWN-0.67	536	364.222	0	0
CVC-34-DOWN-0.67	844	672.222	1	8.43767
CWC-17-DOWN-0.67	994	822.222	0	0
CXC-9-DOWN-0.67	1143	971.222	0	0
CYC-2-DOWN-0.67	1021	849.222	0	0
DAD-3000000-DOWN-0.5	1061	889.222	38059	242763
DBD-750000-DOWN-0.5	522	350.222	3119	50513.5
DCD-187500-DOWN-0.5	1023	851.222	2837	18903.9
DDD-93750-DOWN-0.5	1023	851.222	1711	11401
DED-46875-DOWN-0.5	751	579.222	299	2927.93
DFD-23438-DOWN-0.5	1136	964.222	374	2200.04
DGD-11719-DOWN-0.5	872	700.222	79	639.921
DHD-11719-DOWN-0.5	644	472.222	67	804.755
DID-5859-DOWN-0.5	993	821.222	74	511.1
DJD-2930-DOWN-0.5	543	371.222	16	244.468
DKD-2930-DOWN-0.5	525	353.222	17	272.984
DLD-1465-DOWN-0.5	743	571.222	18	178.732
DMD-732-DOWN-0.5	1957	1785.22	18	57.1894
DND-732-DOWN-0.5	273	109.787	1	51.6635
DPD-366-DOWN-0.5	1137	965.222	2	11.7527
DRD-183-DOWN-0.5	537	365.222	0	0
DSD-183-DOWN-0.5	808	636.222	2	17.8302
DTD-92-DOWN-0.5	1024	852.222	2	13.3111
DUD-46-DOWN-0.5	1122	950.222	0	0
DVD-46-DOWN-0.5	534	362.222	0	0
DWD-23-DOWN-0.5	1020	848.222	0	0
DXD-11-DOWN-0.5	1136	964.222	0	0
DYD-3-DOWN-0.5	992	820.222	0	0
