target_id	length	eff_length	X1	X2	X3	BORED_1	BORED_2	BORED_3	EXCITED_1	EXCITED_2	EXCITED_3
AAA-750000-UP-4	1059	887.222	0	0	0	8103.0	7339.0	8825.0	69797.0	44913.0	57122.0
ABA-187500-UP-4	523	351.222	0	0	0	979.0	736.0	1009.0	9199.0	6784.0	7358.0
ACA-46875-UP-4	1033	861.222	0	0	0	505.0	398.0	505.0	4456.0	3064.0	3669.0
ADA-23438-UP-4	1022	850.222	0	0	0	206.0	153.0	240.0	1920.0	1228.0	1669.0
AEA-11719-UP-4	1991	1819.22	0	0	0	261.0	213.0	282.0	2113.0	1412.0	1967.0
AFA-5859-UP-4	1124	952.222	0	0	0	67.0	79.0	98.0	718.0	466.0	626.0
AGA-2930-UP-4	521	349.222	0	0	0	38.0	33.0	36.0	313.0	205.0	272.0
AHA-2930-UP-4	771	599.222	0	0	0	37.0	35.0	32.0	315.0	191.0	238.0
AIA-1465-UP-4	1023	851.222	0	0	0	23.0	9.0	13.0	199.0	111.0	150.0
AJA-732-UP-4	644	472.222	0	0	0	5.0	6.0	4.0	33.0	21.0	21.0
AKA-732-UP-4	538	366.222	0	0	0	1.0	1.0	6.0	20.0	12.0	11.0
ALA-366-UP-4	1023	851.222	0	0	0	2.0	2.0	7.0	46.0	26.0	36.0
AMA-183-UP-4	537	365.222	0	0	0	3.0	0.0	2.0	6.0	10.0	6.0
ANA-183-UP-4	844	672.222	0	0	0	3.0	3.0	2.0	20.0	8.0	16.0
APA-92-UP-4	1130	958.222	0	0	0	2.0	0.0	2.0	9.0	10.0	8.0
ARA-46-UP-4	2022	1850.22	0	0	0	0.0	3.0	0.0	2.0	3.0	4.0
ASA-46-UP-4	274	110.601	0	0	0	0.0	0.0	1.0	1.0	0.0	1.0
ATA-23-UP-4	1023	851.222	0	0	0	0.0	1.0	0.0	1.0	1.0	0.0
AUA-11-UP-4	523	351.222	0	0	0	0.0	0.0	0.0	2.0	0.0	0.0
AVA-11-UP-4	494	322.222	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0
AWA-6-UP-4	1022	850.222	0	0	0	0.0	0.0	0.0	0.0	0.0	2.0
AXA-3-UP-4	1136	964.222	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0
AYA-1-UP-4	1022	850.222	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
BAB-1500000-SAME-1	1107	935.222	0	0	0	20676.0	18997.0	22796.0	44261.0	28653.0	36490.0
BBB-375000-SAME-1	505	333.222	0	0	0	1923.0	1667.0	2120.0	3816.0	2678.0	3366.0
BCB-93750-SAME-1	984	812.222	0	0	0	676.0	501.0	679.0	1410.0	928.0	1159.0
BDB-46875-SAME-1	1023	851.222	0	0	0	648.0	545.0	694.0	1490.0	1043.0	1244.0
BEB-23438-SAME-1	523	351.222	0	0	0	200.0	132.0	211.0	503.0	332.0	349.0
BFB-11719-SAME-1	1130	958.222	0	0	0	102.0	89.0	114.0	251.0	125.0	186.0
BGB-5859-SAME-1	1994	1822.22	0	0	0	139.0	127.0	131.0	286.0	189.0	236.0
BHB-5859-SAME-1	274	110.601	0	0	0	5.0	0.0	4.0	12.0	9.0	7.0
BIB-2930-SAME-1	1023	851.222	0	0	0	24.0	26.0	35.0	53.0	49.0	61.0
BJB-1465-SAME-1	494	322.222	0	0	0	1.0	6.0	7.0	3.0	3.0	7.0
BKB-1465-SAME-1	1118	946.222	0	0	0	8.0	6.0	7.0	22.0	7.0	17.0
BLB-732-SAME-1	1019	847.222	0	0	0	15.0	12.0	24.0	42.0	21.0	37.0
BMB-366-SAME-1	743	571.222	0	0	0	1.0	1.0	2.0	5.0	9.0	4.0
BNB-366-SAME-1	644	472.222	0	0	0	1.0	1.0	2.0	7.0	0.0	3.0
BPB-183-SAME-1	1138	966.222	0	0	0	1.0	0.0	5.0	5.0	2.0	4.0
BRB-92-SAME-1	536	364.222	0	0	0	0.0	0.0	0.0	0.0	2.0	2.0
BSB-92-SAME-1	603	431.222	0	0	0	1.0	0.0	0.0	3.0	1.0	0.0
BTB-46-SAME-1	1027	855.222	0	0	0	1.0	1.0	2.0	1.0	2.0	2.0
BUB-23-SAME-1	2022	1850.22	0	0	0	0.0	0.0	1.0	1.0	3.0	0.0
BVB-23-SAME-1	493	321.222	0	0	0	0.0	0.0	1.0	0.0	2.0	0.0
BWB-11-SAME-1	1024	852.222	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0
BXB-6-SAME-1	1136	964.222	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
BYB-1-SAME-1	1023	851.222	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
CAC-2250000-DOWN-0.67	522	350.222	0	0	0	21129.0	18133.0	22967.0	31395.0	23370.0	26448.0
CBC-562500-DOWN-0.67	840	668.222	0	0	0	7022.0	6083.0	7817.0	9766.0	6570.0	8406.0
CCC-140625-DOWN-0.67	1042	870.222	0	0	0	1025.0	936.0	1120.0	1530.0	1004.0	1246.0
CDC-70312-DOWN-0.67	994	822.222	0	0	0	1023.0	814.0	1048.0	1322.0	959.0	1108.0
CEC-35156-DOWN-0.67	642	470.222	0	0	0	190.0	169.0	232.0	243.0	161.0	189.0
CFC-17578-DOWN-0.67	1156	984.222	0	0	0	203.0	211.0	264.0	367.0	193.0	253.0
CGC-8789-DOWN-0.67	523	351.222	0	0	0	47.0	37.0	52.0	95.0	66.0	59.0
CHC-8789-DOWN-0.67	642	470.222	0	0	0	82.0	59.0	75.0	124.0	66.0	96.0
CIC-4395-DOWN-0.67	994	822.222	0	0	0	58.0	49.0	67.0	87.0	47.0	67.0
CJC-2197-DOWN-0.67	1350	1178.22	0	0	0	32.0	28.0	24.0	32.0	30.0	42.0
CKC-2197-DOWN-0.67	274	110.601	0	0	0	2.0	3.0	7.0	5.0	1.0	2.0
CLC-1099-DOWN-0.67	1019	847.222	0	0	0	21.0	12.0	22.0	29.0	23.0	21.0
CMC-549-DOWN-0.67	784	612.222	0	0	0	0.0	6.0	2.0	7.0	5.0	4.0
CNC-549-DOWN-0.67	740	568.222	0	0	0	2.0	0.0	6.0	7.0	3.0	2.0
CPC-275-DOWN-0.67	1136	964.222	0	0	0	2.0	7.0	9.0	4.0	4.0	5.0
CRC-137-DOWN-0.67	536	364.222	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0
CSC-137-DOWN-0.67	744	572.222	0	0	0	0.0	2.0	1.0	1.0	0.0	2.0
CTC-69-DOWN-0.67	1022	850.222	0	0	0	0.0	0.0	1.0	0.0	2.0	2.0
CUC-34-DOWN-0.67	536	364.222	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
CVC-34-DOWN-0.67	844	672.222	0	0	0	1.0	1.0	0.0	0.0	0.0	1.0
CWC-17-DOWN-0.67	994	822.222	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0
CXC-9-DOWN-0.67	1143	971.222	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
CYC-2-DOWN-0.67	1021	849.222	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
DAD-3000000-DOWN-0.5	1061	889.222	0	0	0	38059.0	37518.0	42220.0	40132.0	26119.0	34049.0
DBD-750000-DOWN-0.5	522	350.222	0	0	0	3119.0	2321.0	3181.0	3742.0	2447.0	2956.0
DCD-187500-DOWN-0.5	1023	851.222	0	0	0	2837.0	2145.0	3035.0	3531.0	2245.0	2732.0
DDD-93750-DOWN-0.5	1023	851.222	0	0	0	1711.0	1314.0	1884.0	2118.0	1462.0	1730.0
DED-46875-DOWN-0.5	751	579.222	0	0	0	299.0	248.0	336.0	362.0	183.0	275.0
DFD-23438-DOWN-0.5	1136	964.222	0	0	0	374.0	350.0	441.0	420.0	272.0	344.0
DGD-11719-DOWN-0.5	872	700.222	0	0	0	79.0	78.0	82.0	94.0	63.0	66.0
DHD-11719-DOWN-0.5	644	472.222	0	0	0	67.0	60.0	98.0	88.0	60.0	74.0
DID-5859-DOWN-0.5	993	821.222	0	0	0	74.0	56.0	99.0	76.0	59.0	67.0
DJD-2930-DOWN-0.5	543	371.222	0	0	0	16.0	10.0	24.0	11.0	11.0	15.0
DKD-2930-DOWN-0.5	525	353.222	0	0	0	17.0	13.0	32.0	27.0	19.0	17.0
DLD-1465-DOWN-0.5	743	571.222	0	0	0	18.0	26.0	27.0	23.0	21.0	19.0
DMD-732-DOWN-0.5	1957	1785.22	0	0	0	18.0	7.0	12.0	22.0	6.0	12.0
DND-732-DOWN-0.5	273	109.787	0	0	0	1.0	0.0	0.0	0.0	2.0	1.0
DPD-366-DOWN-0.5	1137	965.222	0	0	0	2.0	8.0	6.0	5.0	4.0	7.0
DRD-183-DOWN-0.5	537	365.222	0	0	0	0.0	0.0	0.0	1.0	2.0	0.0
DSD-183-DOWN-0.5	808	636.222	0	0	0	2.0	2.0	0.0	3.0	2.0	0.0
DTD-92-DOWN-0.5	1024	852.222	0	0	0	2.0	1.0	1.0	2.0	3.0	3.0
DUD-46-DOWN-0.5	1122	950.222	0	0	0	0.0	0.0	2.0	1.0	1.0	0.0
DVD-46-DOWN-0.5	534	362.222	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
DWD-23-DOWN-0.5	1020	848.222	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
DXD-11-DOWN-0.5	1136	964.222	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
DYD-3-DOWN-0.5	992	820.222	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
