target_id	length	eff_length	est_counts	tpm
AAA-750000-UP-4	1059	891.341	7339	52989.7
ABA-187500-UP-4	523	355.341	736	13330
ACA-46875-UP-4	1033	865.341	398	2960.02
ADA-23438-UP-4	1022	854.341	153	1152.55
AEA-11719-UP-4	1991	1823.34	213	751.814
AFA-5859-UP-4	1124	956.341	79	531.634
AGA-2930-UP-4	521	353.341	33	601.06
AHA-2930-UP-4	771	603.341	35	373.339
AIA-1465-UP-4	1023	855.341	9	67.7176
AJA-732-UP-4	644	476.341	6	81.0647
AKA-732-UP-4	538	370.341	1	17.3779
ALA-366-UP-4	1023	855.341	2	15.0484
AMA-183-UP-4	537	369.341	0	0
ANA-183-UP-4	844	676.341	3	28.5466
APA-92-UP-4	1130	962.341	0	0
ARA-46-UP-4	2022	1854.34	3	10.4119
ASA-46-UP-4	274	112.421	0	0
ATA-23-UP-4	1023	855.341	1	7.52418
AUA-11-UP-4	523	355.341	0	0
AVA-11-UP-4	494	326.341	0	0
AWA-6-UP-4	1022	854.341	0	0
AXA-3-UP-4	1136	968.341	0	0
AYA-1-UP-4	1022	854.341	0	0
BAB-1500000-SAME-1	1107	939.341	18997	130155
BBB-375000-SAME-1	505	337.341	1667	31802.7
BCB-93750-SAME-1	984	816.341	501	3949.7
BDB-46875-SAME-1	1023	855.341	545	4100.68
BEB-23438-SAME-1	523	355.341	132	2390.71
BFB-11719-SAME-1	1130	962.341	89	595.195
BGB-5859-SAME-1	1994	1826.34	127	447.528
BHB-5859-SAME-1	274	112.421	0	0
BIB-2930-SAME-1	1023	855.341	26	195.629
BJB-1465-SAME-1	494	326.341	6	118.325
BKB-1465-SAME-1	1118	950.341	6	40.6322
BLB-732-SAME-1	1019	851.341	12	90.7144
BMB-366-SAME-1	743	575.341	1	11.186
BNB-366-SAME-1	644	476.341	1	13.5108
BPB-183-SAME-1	1138	970.341	0	0
BRB-92-SAME-1	536	368.341	0	0
BSB-92-SAME-1	603	435.341	0	0
BTB-46-SAME-1	1027	859.341	1	7.48916
BUB-23-SAME-1	2022	1854.34	0	0
BVB-23-SAME-1	493	325.341	0	0
BWB-11-SAME-1	1024	856.341	0	0
BXB-6-SAME-1	1136	968.341	0	0
BYB-1-SAME-1	1023	855.341	0	0
CAC-2250000-DOWN-0.67	522	354.341	18133	329341
CBC-562500-DOWN-0.67	840	672.341	6083	58227.3
CCC-140625-DOWN-0.67	1042	874.341	936	6889.59
CDC-70312-DOWN-0.67	994	826.341	814	6339.62
CEC-35156-DOWN-0.67	642	474.341	169	2292.95
CFC-17578-DOWN-0.67	1156	988.341	211	1373.96
CGC-8789-DOWN-0.67	523	355.341	37	670.123
CHC-8789-DOWN-0.67	642	474.341	59	800.497
CIC-4395-DOWN-0.67	994	826.341	49	381.624
CJC-2197-DOWN-0.67	1350	1182.34	28	152.41
CKC-2197-DOWN-0.67	274	112.421	3	171.74
CLC-1099-DOWN-0.67	1019	851.341	12	90.7144
CMC-549-DOWN-0.67	784	616.341	6	62.6511
CNC-549-DOWN-0.67	740	572.341	0	0
CPC-275-DOWN-0.67	1136	968.341	7	46.523
CRC-137-DOWN-0.67	536	368.341	0	0
CSC-137-DOWN-0.67	744	576.341	2	22.3331
CTC-69-DOWN-0.67	1022	854.341	0	0
CUC-34-DOWN-0.67	536	368.341	0	0
CVC-34-DOWN-0.67	844	676.341	1	9.51552
CWC-17-DOWN-0.67	994	826.341	0	0
CXC-9-DOWN-0.67	1143	975.341	0	0
CYC-2-DOWN-0.67	1021	853.341	0	0
DAD-3000000-DOWN-0.5	1061	893.341	37518	270284
DBD-750000-DOWN-0.5	522	354.341	2321	42155.3
DCD-187500-DOWN-0.5	1023	855.341	2145	16139.4
DDD-93750-DOWN-0.5	1023	855.341	1314	9886.77
DED-46875-DOWN-0.5	751	583.341	248	2736.07
DFD-23438-DOWN-0.5	1136	968.341	350	2326.15
DGD-11719-DOWN-0.5	872	704.341	78	712.705
DHD-11719-DOWN-0.5	644	476.341	60	810.647
DID-5859-DOWN-0.5	993	825.341	56	436.67
DJD-2930-DOWN-0.5	543	375.341	10	171.464
DKD-2930-DOWN-0.5	525	357.341	13	234.131
DLD-1465-DOWN-0.5	743	575.341	26	290.835
DMD-732-DOWN-0.5	1957	1789.34	7	25.177
DND-732-DOWN-0.5	273	111.607	0	0
DPD-366-DOWN-0.5	1137	969.341	8	53.1143
DRD-183-DOWN-0.5	537	369.341	0	0
DSD-183-DOWN-0.5	808	640.341	2	20.101
DTD-92-DOWN-0.5	1024	856.341	1	7.51539
DUD-46-DOWN-0.5	1122	954.341	0	0
DVD-46-DOWN-0.5	534	366.341	0	0
DWD-23-DOWN-0.5	1020	852.341	0	0
DXD-11-DOWN-0.5	1136	968.341	0	0
DYD-3-DOWN-0.5	992	824.341	0	0
