target_id	length	eff_length	est_counts	tpm
AAA-750000-UP-4	1059	891.01	57122	219740
ABA-187500-UP-4	523	355.01	7358	71040.9
ACA-46875-UP-4	1033	865.01	3669	14538.4
ADA-23438-UP-4	1022	854.01	1669	6698.58
AEA-11719-UP-4	1991	1823.01	1967	3698.32
AFA-5859-UP-4	1124	956.01	626	2244.4
AGA-2930-UP-4	521	353.01	272	2641.01
AHA-2930-UP-4	771	603.01	238	1352.82
AIA-1465-UP-4	1023	855.01	150	601.325
AJA-732-UP-4	644	476.01	21	151.214
AKA-732-UP-4	538	370.01	11	101.899
ALA-366-UP-4	1023	855.01	36	144.318
AMA-183-UP-4	537	369.01	6	55.7317
ANA-183-UP-4	844	676.01	16	81.1252
APA-92-UP-4	1130	962.01	8	28.5036
ARA-46-UP-4	2022	1854.01	4	7.39498
ASA-46-UP-4	274	112.437	1	30.4845
ATA-23-UP-4	1023	855.01	0	0
AUA-11-UP-4	523	355.01	0	0
AVA-11-UP-4	494	326.01	1	10.5138
AWA-6-UP-4	1022	854.01	2	8.02705
AXA-3-UP-4	1136	968.01	1	3.54086
AYA-1-UP-4	1022	854.01	0	0
BAB-1500000-SAME-1	1107	939.01	36490	133197
BBB-375000-SAME-1	505	337.01	3366	34234.2
BCB-93750-SAME-1	984	816.01	1159	4868.3
BDB-46875-SAME-1	1023	855.01	1244	4986.99
BEB-23438-SAME-1	523	355.01	349	3369.56
BFB-11719-SAME-1	1130	962.01	186	662.709
BGB-5859-SAME-1	1994	1826.01	236	442.994
BHB-5859-SAME-1	274	112.437	7	213.392
BIB-2930-SAME-1	1023	855.01	61	244.539
BJB-1465-SAME-1	494	326.01	7	73.5963
BKB-1465-SAME-1	1118	950.01	17	61.3352
BLB-732-SAME-1	1019	851.01	37	149.024
BMB-366-SAME-1	743	575.01	4	23.8437
BNB-366-SAME-1	644	476.01	3	21.602
BPB-183-SAME-1	1138	970.01	4	14.1343
BRB-92-SAME-1	536	368.01	2	18.6277
BSB-92-SAME-1	603	435.01	0	0
BTB-46-SAME-1	1027	859.01	2	7.98033
BUB-23-SAME-1	2022	1854.01	0	0
BVB-23-SAME-1	493	325.01	0	0
BWB-11-SAME-1	1024	856.01	0	0
BXB-6-SAME-1	1136	968.01	0	0
BYB-1-SAME-1	1023	855.01	0	0
CAC-2250000-DOWN-0.67	522	354.01	26448	256074
CBC-562500-DOWN-0.67	840	672.01	8406	42874.9
CCC-140625-DOWN-0.67	1042	874.01	1246	4886.42
CDC-70312-DOWN-0.67	994	826.01	1108	4597.73
CEC-35156-DOWN-0.67	642	474.01	189	1366.67
CFC-17578-DOWN-0.67	1156	988.01	253	877.705
CGC-8789-DOWN-0.67	523	355.01	59	569.64
CHC-8789-DOWN-0.67	642	474.01	96	694.181
CIC-4395-DOWN-0.67	994	826.01	67	278.022
CJC-2197-DOWN-0.67	1350	1182.01	42	121.792
CKC-2197-DOWN-0.67	274	112.437	2	60.9691
CLC-1099-DOWN-0.67	1019	851.01	21	84.5812
CMC-549-DOWN-0.67	784	616.01	4	22.2567
CNC-549-DOWN-0.67	740	572.01	2	11.9844
CPC-275-DOWN-0.67	1136	968.01	5	17.7043
CRC-137-DOWN-0.67	536	368.01	0	0
CSC-137-DOWN-0.67	744	576.01	2	11.9012
CTC-69-DOWN-0.67	1022	854.01	2	8.02705
CUC-34-DOWN-0.67	536	368.01	0	0
CVC-34-DOWN-0.67	844	676.01	1	5.07033
CWC-17-DOWN-0.67	994	826.01	0	0
CXC-9-DOWN-0.67	1143	975.01	0	0
CYC-2-DOWN-0.67	1021	853.01	0	0
DAD-3000000-DOWN-0.5	1061	893.01	34049	130688
DBD-750000-DOWN-0.5	522	354.01	2956	28620.5
DCD-187500-DOWN-0.5	1023	855.01	2732	10952.1
DDD-93750-DOWN-0.5	1023	855.01	1730	6935.28
DED-46875-DOWN-0.5	751	583.01	275	1616.76
DFD-23438-DOWN-0.5	1136	968.01	344	1218.06
DGD-11719-DOWN-0.5	872	704.01	66	321.332
DHD-11719-DOWN-0.5	644	476.01	74	532.85
DID-5859-DOWN-0.5	993	825.01	67	278.359
DJD-2930-DOWN-0.5	543	375.01	15	137.1
DKD-2930-DOWN-0.5	525	357.01	17	163.214
DLD-1465-DOWN-0.5	743	575.01	19	113.258
DMD-732-DOWN-0.5	1957	1789.01	12	22.991
DND-732-DOWN-0.5	273	111.67	1	30.6939
DPD-366-DOWN-0.5	1137	969.01	7	24.7605
DRD-183-DOWN-0.5	537	369.01	0	0
DSD-183-DOWN-0.5	808	640.01	0	0
DTD-92-DOWN-0.5	1024	856.01	3	12.0124
DUD-46-DOWN-0.5	1122	954.01	0	0
DVD-46-DOWN-0.5	534	366.01	0	0
DWD-23-DOWN-0.5	1020	852.01	0	0
DXD-11-DOWN-0.5	1136	968.01	0	0
DYD-3-DOWN-0.5	992	824.01	0	0
